Sunday,15-Feb,Milk 1l,2,R10.00
Sunday,15-Feb,Imasi,2,R25.00
Sunday,15-Feb,Bread,1,R12.00
Sunday,15-Feb,Chakalaka Can,3,R10.00
Sunday,15-Feb,Gold Dish Vegetable Curry Can,0,R9.00
Sunday,15-Feb,Fanta 500ml,5,R6.50
Sunday,15-Feb,Coke 500ml,4,R6.50
Sunday,15-Feb,Cream Soda 500ml,2,R7.50
Sunday,15-Feb,Iwisa Pap 5kg,0,R30.00
Sunday,15-Feb,Top Class Soy Mince,1,R12.00
Sunday,15-Feb,Shampoo 1 litre,0,R30.00
Sunday,15-Feb,Soap Bar,1,R6.00
Sunday,15-Feb,Bananas - loose,1,R2.00
Sunday,15-Feb,Apples - loose,1,R2.00
Sunday,15-Feb,Mixed Sweets 5s,3,R3.00
Monday,16-Feb,Milk 1l,7,R10.00
Monday,16-Feb,Imasi,6,R25.00
Monday,16-Feb,Bread,4,R12.00
Monday,16-Feb,Chakalaka Can,3,R10.00
Monday,16-Feb,Gold Dish Vegetable Curry Can,2,R9.00
Monday,16-Feb,Fanta 500ml,2,R6.50
Monday,16-Feb,Coke 500ml,1,R6.50
Monday,16-Feb,Cream Soda 500ml,2,R7.50
Monday,16-Feb,Iwisa Pap 5kg,2,R30.00
Monday,16-Feb,Top Class Soy Mince,1,R12.00
Monday,16-Feb,Shampoo 1 litre,0,R30.00
Monday,16-Feb,Soap Bar,2,R6.00
Monday,16-Feb,Bananas - loose,2,R2.00
Monday,16-Feb,Apples - loose,3,R2.00
Monday,16-Feb,Mixed Sweets 5s,5,R3.00
Tuesday,17-Feb,Milk 1l,8,R10.00
Tuesday,17-Feb,Imasi,6,R25.00
Tuesday,17-Feb,Bread,3,R12.00
Tuesday,17-Feb,Chakalaka Can,0,R10.00
Tuesday,17-Feb,Gold Dish Vegetable Curry Can,0,R9.00
Tuesday,17-Feb,Fanta 500ml,0,R6.50
Tuesday,17-Feb,Coke 500ml,2,R6.50
Tuesday,17-Feb,Cream Soda 500ml,0,R7.50
Tuesday,17-Feb,Iwisa Pap 5kg,1,R30.00
Tuesday,17-Feb,Top Class Soy Mince,2,R12.00
Tuesday,17-Feb,Shampoo 1 litre,0,R30.00
Tuesday,17-Feb,Soap Bar,1,R6.00
Tuesday,17-Feb,Bananas - loose,2,R2.00
Tuesday,17-Feb,Apples - loose,6,R2.00
Tuesday,17-Feb,Mixed Sweets 5s,5,R2.00
Wednesday,18-Feb,Milk 1l,3,R10.00
Wednesday,18-Feb,Imasi,5,R25.00
Wednesday,18-Feb,Bread,5,R12.00
Wednesday,18-Feb,Chakalaka Can,1,R10.00
Wednesday,18-Feb,Gold Dish Vegetable Curry Can,0,R9.00
Wednesday,18-Feb,Fanta 500ml,0,R6.50
Wednesday,18-Feb,Coke 500ml,3,R6.50
Wednesday,18-Feb,Cream Soda 500ml,2,R7.50
Wednesday,18-Feb,Iwisa Pap 5kg,1,R30.00
Wednesday,18-Feb,Top Class Soy Mince,1,R12.00
Wednesday,18-Feb,Shampoo 1 litre,1,R30.00
Wednesday,18-Feb,Soap Bar,1,R6.00
Wednesday,18-Feb,Bananas - loose,1,R2.00
Wednesday,18-Feb,Apples - loose,3,R2.00
Wednesday,18-Feb,Mixed Sweets 5s,2,R2.00
Thursday,19-Feb,Milk 1l,5,R10.00
Thursday,19-Feb,Imasi,3,R25.00
Thursday,19-Feb,Bread,5,R12.00
Thursday,19-Feb,Chakalaka Can,2,R10.00
Thursday,19-Feb,Gold Dish Vegetable Curry Can,1,R9.00
Thursday,19-Feb,Fanta 500ml,1,R6.50
Thursday,19-Feb,Coke 500ml,1,R6.50
Thursday,19-Feb,Cream Soda 500ml,0,R7.50
Thursday,19-Feb,Iwisa Pap 5kg,0,R30.00
Thursday,19-Feb,Top Class Soy Mince,2,R12.00
Thursday,19-Feb,Shampoo 1 litre,2,R30.00
Thursday,19-Feb,Soap Bar,0,R6.00
Thursday,19-Feb,Bananas - loose,3,R2.00
Thursday,19-Feb,Apples - loose,5,R2.00
Thursday,19-Feb,Mixed Sweets 5s,4,R3.00
Friday,20-Feb,Milk 1l,4,R10.00
Friday,20-Feb,Imasi,2,R25.00
Friday,20-Feb,Bread,3,R12.00
Friday,20-Feb,Chakalaka Can,5,R10.00
Friday,20-Feb,Gold Dish Vegetable Curry Can,3,R9.00
Friday,20-Feb,Fanta 500ml,3,R6.50
Friday,20-Feb,Coke 500ml,5,R6.50
Friday,20-Feb,Cream Soda 500ml,6,R7.50
Friday,20-Feb,Iwisa Pap 5kg,0,R30.00
Friday,20-Feb,Top Class Soy Mince,3,R12.00
Friday,20-Feb,Shampoo 1 litre,1,R30.00
Friday,20-Feb,Soap Bar,3,R6.00
Friday,20-Feb,Bananas - loose,6,R2.00
Friday,20-Feb,Apples - loose,4,R2.00
Friday,20-Feb,Mixed Sweets 5s,8,R3.00
Saturday,21-Feb,Milk 1l,1,R10.00
Saturday,21-Feb,Imasi,1,R25.00
Saturday,21-Feb,Bread,3,R12.00
Saturday,21-Feb,Chakalaka Can,3,R10.00
Saturday,21-Feb,Gold Dish Vegetable Curry Can,2,R9.00
Saturday,21-Feb,Fanta 500ml,3,R6.50
Saturday,21-Feb,Coke 500ml,2,R6.50
Saturday,21-Feb,Cream Soda 500ml,0,R7.50
Saturday,21-Feb,Iwisa Pap 5kg,0,R30.00
Saturday,21-Feb,Top Class Soy Mince,2,R12.00
